X,Y
0.000490294,0.12881098
-0.002196853,0.125317745
-0.002196853,0.125317745
-0.004770304,0.120943119
-0.006161438,0.131375753
-0.007849542,0.131402315
-0.00286178,0.134118195
-0.00286178,0.134118195
-0.002900095,0.135516303
-0.002525466,0.137189591
-0.005942768,0.138640455
-0.004626753,0.13694145
-0.008080292,0.139791709
-0.006684477,0.144074759
-0.01322254,0.142668283
-0.012932757,0.147138503
-0.011572707,0.144040616
-0.012971542,0.148538056
-0.013546164,0.162654339
-0.013624097,0.165456643
-0.020347289,0.164644657
-0.020686214,0.167269912
-0.025799735,0.168746695
-0.025838924,0.17014824
-0.028831119,0.174061874
-0.031216675,0.182932768
-0.03557295,0.191656769
-0.040409207,0.200812436
-0.043928929,0.205081989
-0.047289103,0.203721227
-0.048561894,0.206219483
-0.047221796,0.208823583
-0.048898032,0.215360855
-0.059037113,0.212675993
-0.062443358,0.212719619
-0.064660184,0.232433502
-0.063951852,0.237998303
-0.063911029,0.236583662
-0.063860635,0.241699335
-0.064199722,0.24291078
-0.069340118,0.242970712
-0.074604105,0.247278691
-0.070545147,0.265347264
-0.069137212,0.278219285
-0.070861259,0.278236116
-0.072585274,0.278252799
-0.071331435,0.285423933
-0.067918355,0.298447822
-0.064506085,0.29984145
-0.063249084,0.307030615
-0.055939265,0.31256936
-0.050874943,0.316807227
-0.047819302,0.324289597
-0.039464321,0.325934772
-0.037350638,0.342983848
-0.026115186,0.344446602
-0.018425375,0.353688907
-0.011072952,0.354632831
0.002609653,0.363174589
0.011683015,0.385332765
0.022462109,0.387670389
0.033010439,0.390124312
0.047648199,0.410830167
0.064446451,0.417880857
0.076477983,0.42351366
0.091703283,0.446825952
0.103312305,0.452501352
0.120325867,0.46814486
0.135151018,0.486133352
0.152328187,0.502945668
0.164298837,0.512893485
0.184813524,0.527524268
0.194968031,0.540374551
0.204848751,0.559243792
0.223377759,0.567753146
0.235470958,0.587068049
0.250195796,0.601664459
0.264206935,0.608464049
0.276018498,0.640886352
0.289482844,0.642261788
0.303429624,0.654545538
0.314771169,0.668439768
0.324801508,0.693628302
0.337054829,0.701936855
0.35210135,0.716715823
0.362320295,0.731064258
0.373424227,0.740436006
0.385322544,0.754585422
0.393707983,0.771870211
0.410855903,0.788871654
0.415828193,0.801866036
0.433001263,0.818898431
0.445022928,0.830222909
0.459333543,0.862447742
0.464480214,0.869649145
0.475542342,0.882021727
0.485659317,0.896305688
0.500264944,0.924355158
0.509099218,0.941058118
0.523189999,0.960097827
0.531154827,0.975876291
0.545087616,0.993071103
0.552498838,1.003911028
0.567317573,1.023593056
0.581871589,1.038620156
0.593986336,1.05953189
0.607230116,1.068421458
0.621729444,1.09147393
0.639916307,1.110173868
0.654268416,1.114218254
0.673285517,1.137722375
0.69002729,1.17087862
0.70336691,1.162469927
0.724834468,1.198671285
0.739266526,1.209403562
0.75512608,1.222766948
0.771158182,1.237269711
0.791574576,1.254724544
0.806380158,1.267419074
0.828991616,1.30317608
0.848864258,1.317398026
0.861518012,1.32607283
0.883818422,1.342914231
0.892927391,1.356897087
0.911064851,1.365743567
0.932036281,1.395696911
0.944741994,1.405885444
0.958373343,1.429095471
0.972984793,1.446647767
0.984129712,1.459202114
1.00113005,1.476387713
1.010750862,1.490994473
1.019718765,1.502217812
1.031052465,1.523190295
1.040535374,1.544247068
1.051840068,1.555385558
1.060966543,1.56314637
1.072945678,1.578009514
1.078738917,1.600414228
1.089669704,1.614727689
1.092913815,1.634746055
1.107401761,1.65764906
1.103378564,1.666875098
1.109844099,1.678947532
1.112081664,1.693977871
1.117093492,1.720742621
1.117014469,1.723795202
1.112930892,1.734577215
1.115842285,1.768567225
1.113731597,1.776266036
1.113247475,1.794630991
1.101544978,1.804110804
1.097358623,1.817991813
1.092323513,1.836089188
1.08073336,1.840982225
1.065911521,1.856565098
1.056488011,1.867953663
1.041969014,1.896054682
1.036024194,1.903879491
1.012446103,1.927506689
0.994651671,1.928020212
0.973920373,1.952048924
0.954516612,1.963295594
0.945808708,1.992302835
0.922685777,2.006239777
0.9046645,2.031970311
0.883802265,2.037515344
0.863396052,2.061681349
0.845218835,2.084495816
0.819379869,2.088631634
0.802992677,2.110245097
0.772333922,2.121333152
0.758510935,2.135559811
0.735452653,2.150518314
0.713211934,2.169805498
0.69750971,2.205030015
0.675588907,2.211620097
0.657317494,2.23141744
0.637042341,2.238369682
0.615828215,2.251793445
0.596631061,2.264267933
0.574394775,2.27063201
0.548823484,2.294911771
0.527684729,2.316060123
0.496375587,2.312039503
0.468445475,2.32903385
0.444612981,2.336733254
0.417442845,2.337838074
0.380356029,2.357081976
0.356979838,2.363196422
0.326740808,2.370727978
0.292431339,2.374158303
0.2663012,2.36493832
0.24203476,2.368123352
0.206736724,2.377032934
0.187212065,2.395324169
0.161895204,2.395092709
0.13778303,2.386324311
0.115163783,2.391405282
0.094002426,2.40200712
0.066048357,2.397140991
0.047444104,2.398585094
0.028168546,2.407538741
0.008828893,2.42855355
-0.011799575,2.440450508
-0.034862536,2.425229593
-0.050526104,2.435183352
-0.070179806,2.462430833
-0.087834636,2.468655539
-0.100774936,2.470014396
-0.115919983,2.477731187
-0.137343638,2.47793424
-0.153062891,2.480347415
-0.163211126,2.504412922
-0.175477191,2.520212622
-0.197207697,2.523208475
-0.202554369,2.529411581
-0.218271096,2.529249253
-0.223503155,2.532255151
-0.238266011,2.541150175
-0.242683448,2.556439161
-0.251963249,2.577539058
-0.259984402,2.580642576
-0.263994868,2.582193352
-0.276088992,2.588448258
-0.282072668,2.589967081
-0.27899723,2.606681881
-0.289072501,2.611348398
-0.291240776,2.616143103
-0.290298322,2.62272132
-0.289653572,2.633612009
-0.293929808,2.64159485
-0.290532724,2.652423527
-0.291048376,2.665315839
-0.283094086,2.671638298
-0.279715154,2.686220321
-0.269182796,2.697329721
-0.264920274,2.71641567
-0.257984828,2.720990146
-0.247514618,2.732713602
-0.239522129,2.753638637
-0.227761546,2.754483251
-0.214111841,2.764264971
-0.199118899,2.776681301
-0.189123082,2.800277491
-0.167527265,2.811811203
-0.149624028,2.837728265
