Height,Weight
193,151
184,57
179,93
156,89
182,104
145,160
150,87
145,99
196,122
191,96
148,67
150,84
148,155
153,146
196,159
185,52
171,131
143,118
142,86
141,126
159,109
173,82
183,138
152,90
178,140
188,54
155,144
166,70
188,123
171,120
179,130
186,137
153,78
184,86
177,81
145,78
170,81
181,141
165,155
174,65
146,110
178,85
166,61
191,62
177,155
183,50
151,114
182,98
142,159
188,90
161,89
153,70
140,143
169,141
162,159
183,147
162,58
172,109
150,119
169,145
184,132
159,104
163,131
156,137
157,52
147,84
141,86
173,139
154,145
168,148
168,50
145,130
152,103
187,121
163,57
178,83
187,94
179,114
190,80
172,75
188,57
193,65
147,126
147,94
166,107
192,139
181,139
150,74
178,160
156,52
149,100
156,74
183,105
162,68
165,83
168,143
160,156
169,88
140,76
187,92
